con_description,lang,votes,mos,mos_std
Anchor: Fullband clean,en,26.0,4.34615384615385,0.79711016514947
Anchor: Fullband clean,en,31.0,4.51612903225806,0.5698518954918891
Anchor: Fullband clean,en,28.0,4.321428571428569,0.772373514927102
Anchor: Fullband clean,en,32.0,4.53125,0.567073699482846
Anchor: P50MNRU 25dB,en,23.0,3.7391304347826098,0.91539317456032
Anchor: P50MNRU 25dB,en,32.0,3.3125,0.820601667542903
Anchor: P50MNRU 25dB,en,32.0,3.65625,0.745280852019624
Anchor: P50MNRU 25dB,en,23.0,3.69565217391304,0.973969507115348
Anchor: White Noise 12dB,en,26.0,2.1153846153846203,0.7656068482934609
Anchor: White Noise 12dB,en,33.0,2.57575757575758,0.6628679652796171
Anchor: White Noise 12dB,en,32.0,2.21875,0.659147788019965
Anchor: White Noise 12dB,en,23.0,2.08695652173913,0.79275374362012
Anchor: Level -20dB,en,31.0,3.09677419354839,0.978258272294095
Anchor: Level -20dB,en,29.0,2.931034482758621,0.9975339050005352
Anchor: Level -20dB,en,32.0,3.28125,0.95830411362654
Anchor: Level -20dB,en,29.0,3.3448275862069,0.85673224976258
Anchor: BP 500-2500Hz,en,32.0,3.0,0.762000762001143
Anchor: BP 500-2500Hz,en,33.0,2.78787878787879,0.8572330399888259
Anchor: BP 500-2500Hz,en,31.0,2.80645161290323,0.7032948570222729
Anchor: BP 500-2500Hz,en,25.0,2.52,0.822597511950204
Anchor: BP 100-5000Hz + Level -10dB,en,31.0,2.83870967741935,0.8204378584450459
Anchor: BP 100-5000Hz + Level -10dB,en,25.0,3.4,0.763762615825973
Anchor: BP 100-5000Hz + Level -10dB,en,34.0,3.58823529411765,0.70141186875164
Anchor: BP 100-5000Hz + Level -10dB,en,23.0,3.43478260869565,0.895751941947086
Anchor: Time Clipping 2%,en,32.0,3.46875,0.7177192819911801
Anchor: Time Clipping 2%,en,23.0,3.8695652173913,0.967863055024125
Anchor: Time Clipping 2%,en,31.0,3.4193548387096806,0.501610310127101
Anchor: Time Clipping 2%,en,31.0,3.645161290322581,0.6607262215055079
Anchor: Time Clipping 20%,en,31.0,1.38709677419355,0.4951376478541911
Anchor: Time Clipping 20%,en,33.0,1.6060606060606102,0.704423254309596
Anchor: Time Clipping 20%,en,34.0,1.55882352941176,0.7463517925331651
Anchor: Time Clipping 20%,en,32.0,1.96875,0.646797320799606
Amp clipping 0.15 x Opus @ 8.0 ,en,21.0,2.19047619047619,0.6015852075182379
Amp clipping 0.15 x Opus @ 8.0 ,en,31.0,2.67741935483871,0.7910792954014809
Amp clipping 0.15 x Opus @ 8.0 ,en,26.0,2.53846153846154,0.6468860320501121
Amp clipping 0.15 x Opus @ 8.0 ,en,31.0,2.96774193548387,0.6046415449251421
Amp clipping 0.10 x AMR-WB@ 23.85,en,33.0,3.2727272727272703,0.6741998624632421
Amp clipping 0.10 x AMR-WB@ 23.85,en,31.0,2.54838709677419,0.7676244601548059
Amp clipping 0.10 x AMR-WB@ 23.85,en,31.0,2.93548387096774,0.512216352138283
Amp clipping 0.10 x AMR-WB@ 23.85,en,29.0,2.03448275862069,0.731083277486696
Amp clipping 0.05 x AMR-NB @ 5.90 ,en,31.0,2.2258064516129,0.762000762001143
Amp clipping 0.05 x AMR-NB @ 5.90 ,en,21.0,1.76190476190476,0.538958431120797
Amp clipping 0.05 x AMR-NB @ 5.90 ,en,32.0,1.71875,0.6342063874918671
Amp clipping 0.05 x AMR-NB @ 5.90 ,en,32.0,2.03125,0.646797320799606
AMR-WB@8.85,en,32.0,3.5625,0.8400268812903091
AMR-WB@8.85,en,31.0,3.61290322580645,0.71542152399075
AMR-WB@8.85,en,28.0,3.60714285714286,0.685256681526506
AMR-WB@8.85,en,31.0,3.51612903225806,0.5698518954918891
AMR-WB@8.85 PL 6%  bursty,en,31.0,2.90322580645161,0.59748577163965
AMR-WB@8.85 PL 6%  bursty,en,25.0,3.36,0.757187779440037
AMR-WB@8.85 PL 6%  bursty,en,31.0,2.83870967741935,0.6375355777548621
AMR-WB@8.85 PL 6%  bursty,en,26.0,3.19230769230769,0.895286804068094
AMR-WB@8.85 PL 12% random,en,31.0,2.06451612903226,0.72734603736084
AMR-WB@8.85 PL 12% random,en,32.0,1.8125,0.7803018439949599
AMR-WB@8.85 PL 12% random,en,23.0,1.8695652173913,0.625543242171224
AMR-WB@8.85 PL 12% random,en,34.0,1.6764705882352902,0.6382071590765911
AMR-WB@8.85PL 18%  bursty,en,32.0,2.25,0.9158109397792508
AMR-WB@8.85PL 18%  bursty,en,28.0,1.5,0.577350269189626
AMR-WB@8.85PL 18%  bursty,en,32.0,2.15625,0.6772513232461861
AMR-WB@8.85PL 18%  bursty,en,32.0,1.65625,0.7006621292426459
AMR-WB@8.85 PL 24%  random,en,31.0,1.58064516129032,0.5641627157943649
AMR-WB@8.85 PL 24%  random,en,26.0,1.46153846153846,0.5083911274417939
AMR-WB@8.85 PL 24%  random,en,31.0,1.83870967741935,0.5226071943342271
AMR-WB@8.85 PL 24%  random,en,34.0,1.52941176470588,0.5066403971048989
AMR-WB@8.85 PL 30%  bursty,en,23.0,1.47826086956522,0.510753918455249
AMR-WB@8.85 PL 30%  bursty,en,31.0,1.35483870967742,0.48637345711392
AMR-WB@8.85 PL 30%  bursty,en,34.0,1.3235294117647098,0.534879665611334
AMR-WB@8.85 PL 30%  bursty,en,31.0,1.41935483870968,0.501610310127101
Opus @ 15.0 ,en,21.0,3.9047619047619,0.8890872794479691
Opus @ 15.0 ,en,31.0,3.93548387096774,0.679974699086554
Opus @ 15.0 ,en,32.0,3.6875,0.7803018439949599
Opus @ 15.0 ,en,25.0,3.44,1.00332779621949
Opus @ 15.0 PL 6%  bursty,en,34.0,3.38235294117647,0.817042185118868
Opus @ 15.0 PL 6%  bursty,en,23.0,2.34782608695652,1.070628347882
Opus @ 15.0 PL 6%  bursty,en,25.0,3.08,0.759385716659634
Opus @ 15.0 PL 6%  bursty,en,32.0,3.3125,0.592289162160598
Opus @ 15.0 PL 12%  random,en,31.0,2.16129032258065,0.6375355777548621
Opus @ 15.0 PL 12%  random,en,32.0,2.71875,0.6342063874918671
Opus @ 15.0 PL 12%  random,en,33.0,2.3333333333333304,0.8539125638299659
Opus @ 15.0 PL 12%  random,en,31.0,2.2258064516129,0.804556914057041
Opus @ 15.0 PL 18%  bursty,en,31.0,1.7741935483871,0.5603378397214089
Opus @ 15.0 PL 18%  bursty,en,26.0,1.61538461538462,0.7524319545007679
Opus @ 15.0 PL 18%  bursty,en,34.0,2.14705882352941,0.7020469181064871
Opus @ 15.0 PL 18%  bursty,en,31.0,1.80645161290323,0.654184216599049
Opus @ 15.0 PL 24%  random,en,31.0,1.41935483870968,0.6204403569716751
Opus @ 15.0 PL 24%  random,en,31.0,1.93548387096774,0.771815343674368
Opus @ 15.0 PL 24%  random,en,32.0,2.15625,0.766616992313128
Opus @ 15.0 PL 24%  random,en,25.0,1.68,0.556776436283002
Opus @ 15.0 PL 30%  bursty,en,25.0,1.44,0.768114574786861
Opus @ 15.0 PL 30%  bursty,en,32.0,1.3125,0.644455258838937
Opus @ 15.0 PL 30%  bursty,en,25.0,1.32,0.6271629240742261
Opus @ 15.0 PL 30%  bursty,en,31.0,1.61290322580645,0.558415577316077
AMR-NB @ 4.75 + Level -25 dB,en,31.0,1.29032258064516,0.528743692608355
AMR-NB @ 4.75 + Level -25 dB,en,21.0,1.33333333333333,0.483045891539648
AMR-NB @ 4.75 + Level -25 dB,en,31.0,1.61290322580645,0.803219328902499
AMR-NB @ 4.75 + Level -25 dB,en,31.0,1.2258064516129,0.425023718503241
AMR-WB @ 12.65 + Level -20 dB,en,26.0,2.6153846153846203,0.982931251997741
AMR-WB @ 12.65 + Level -20 dB,en,31.0,2.83870967741935,0.73470058271146
AMR-WB @ 12.65 + Level -20 dB,en,26.0,3.11538461538462,0.863801971607987
AMR-WB @ 12.65 + Level -20 dB,en,31.0,2.70967741935484,1.03902352835396
EVS @ 13.2 + Level -15dB,en,25.0,1.96,0.7348469228349531
EVS @ 13.2 + Level -15dB,en,31.0,3.54838709677419,0.8098851637699158
EVS @ 13.2 + Level -15dB,en,31.0,3.48387096774194,0.676804636604266
EVS @ 13.2 + Level -15dB,en,31.0,3.7741935483871,0.668813746836134
EVS @ 5.9 + Level -10dB,en,32.0,2.15625,0.6772513232461861
EVS @ 5.9 + Level -10dB,en,31.0,3.61290322580645,0.954896830547283
EVS @ 5.9 + Level -10dB,en,26.0,1.7692307692307698,0.651625187216842
EVS @ 5.9 + Level -10dB,en,28.0,3.28571428571429,0.712696645099798
AMR-WB @ 6.60 + BGN 0dB + Level -25dB,en,26.0,1.23076923076923,0.42966892442366
AMR-WB @ 6.60 + BGN 0dB + Level -25dB,en,31.0,1.5483870967741902,0.7676244601548059
AMR-WB @ 6.60 + BGN 0dB + Level -25dB,en,32.0,1.84375,0.766616992313128
AMR-WB @ 6.60 + BGN 0dB + Level -25dB,en,31.0,1.4516129032258098,0.623896875956241
EVS @ 5.9  + BGN 10dB + Level -20dB,en,23.0,1.1304347826087,0.344350221575091
EVS @ 5.9  + BGN 10dB + Level -20dB,en,32.0,2.28125,0.7288689868556629
EVS @ 5.9  + BGN 10dB + Level -20dB,en,26.0,2.03846153846154,0.720042733774558
EVS @ 5.9  + BGN 10dB + Level -20dB,en,31.0,2.32258064516129,0.9447079539622648
AMR-WB@19.85 + BGN 20dB + Level -15dB,en,31.0,3.0,0.7302967433402209
AMR-WB@19.85 + BGN 20dB + Level -15dB,en,33.0,2.60606060606061,0.7474704818333101
