filename,MOS
25765194_MinPolqaSfbRecording_cut.wav,3.875
25634417_MinPolqaSfbRecording_cut.wav,1.5
25705754_MinPolqaSfbRecording_cut.wav,3.25
25706727_MinPolqaSfbRecording_cut.wav,3.0
25800071_MinPolqaSfbRecording_cut.wav,3.875
25626619_MinPolqaSfbRecording_cut.wav,2.875
25625721_MinPolqaSfbRecording_cut.wav,2.75
25612043_MinPolqaSfbRecording_cut.wav,2.75
25699587_MinPolqaSfbRecording_cut.wav,4.125
25726223_MinPolqaSfbRecording_cut.wav,2.4
25726502_MinPolqaSfbRecording_cut.wav,4.2
25630298_MinPolqaSfbRecording_cut.wav,4.0
25618190_MinPolqaSfbRecording_cut.wav,4.2
25802534_MinPolqaSfbRecording_cut.wav,4.2
25697683_MinPolqaSfbRecording_cut.wav,3.8
25614993_MinPolqaSfbRecording_cut.wav,4.2
25708282_MinPolqaSfbRecording_cut.wav,2.0
25800872_MinPolqaSfbRecording_cut.wav,2.2
25799844_MinPolqaSfbRecording_cut.wav,2.6
25799075_MinPolqaSfbRecording_cut.wav,3.8
25695773_MinPolqaSfbRecording_cut.wav,4.2
25762023_MinPolqaSfbRecording_cut.wav,2.6
25806104_MinPolqaSfbRecording_cut.wav,3.8
25655482_MinPolqaSfbRecording_cut.wav,1.8
25626915_MinPolqaSfbRecording_cut.wav,3.6
25647031_MinPolqaSfbRecording_cut.wav,3.8
25703651_MinPolqaSfbRecording_cut.wav,4.0
25624091_MinPolqaSfbRecording_cut.wav,3.4
25805807_MinPolqaSfbRecording_cut.wav,4.0
25798245_MinPolqaSfbRecording_cut.wav,2.0
25707578_MinPolqaSfbRecording_cut.wav,1.625
25625285_MinPolqaSfbRecording_cut.wav,2.0
25710152_MinPolqaSfbRecording_cut.wav,1.875
25633481_MinPolqaSfbRecording_cut.wav,4.25
25715717_MinPolqaSfbRecording_cut.wav,1.625
25804354_MinPolqaSfbRecording_cut.wav,2.75
25718375_MinPolqaSfbRecording_cut.wav,3.375
25631605_MinPolqaSfbRecording_cut.wav,4.428571429
25741033_MinPolqaSfbRecording_cut.wav,2.571428571
25781147_MinPolqaSfbRecording_cut.wav,4.142857143
25741231_MinPolqaSfbRecording_cut.wav,3.285714286
25753110_MinPolqaSfbRecording_cut.wav,3.285714286
25804308_MinPolqaSfbRecording_cut.wav,3.285714286
25800842_MinPolqaSfbRecording_cut.wav,2.142857143
25624129_MinPolqaSfbRecording_cut.wav,2.857142857
25722990_MinPolqaSfbRecording_cut.wav,4.285714286
25764656_MinPolqaSfbRecording_cut.wav,4.375
25636910_MinPolqaSfbRecording_cut.wav,3.125
25713023_MinPolqaSfbRecording_cut.wav,4.375
25658335_MinPolqaSfbRecording_cut.wav,2.875
25714609_MinPolqaSfbRecording_cut.wav,2.625
25737056_MinPolqaSfbRecording_cut.wav,1.375
25754441_MinPolqaSfbRecording_cut.wav,2.875
25753494_MinPolqaSfbRecording_cut.wav,3.875
25693675_MinPolqaSfbRecording_cut.wav,2.625
25625118_MinPolqaSfbRecording_cut.wav,4.0
25703323_MinPolqaSfbRecording_cut.wav,4.0
25653538_MinPolqaSfbRecording_cut.wav,3.0
25630079_MinPolqaSfbRecording_cut.wav,3.857142857
25634359_MinPolqaSfbRecording_cut.wav,2.142857143
25751841_MinPolqaSfbRecording_cut.wav,2.857142857
25632423_MinPolqaSfbRecording_cut.wav,4.142857143
25733403_MinPolqaSfbRecording_cut.wav,2.714285714
25782619_MinPolqaSfbRecording_cut.wav,3.142857143
25612379_MinPolqaSfbRecording_cut.wav,1.428571429
25718086_MinPolqaSfbRecording_cut.wav,3.333333333
25656902_MinPolqaSfbRecording_cut.wav,2.0
25778325_MinPolqaSfbRecording_cut.wav,3.333333333
25761638_MinPolqaSfbRecording_cut.wav,3.333333333
25652353_MinPolqaSfbRecording_cut.wav,4.555555556
25712155_MinPolqaSfbRecording_cut.wav,2.333333333
25614666_MinPolqaSfbRecording_cut.wav,1.666666667
25743119_MinPolqaSfbRecording_cut.wav,1.888888889
25779301_MinPolqaSfbRecording_cut.wav,1.777777778
25754369_MinPolqaSfbRecording_cut.wav,2.857142857
25731125_MinPolqaSfbRecording_cut.wav,2.0
25620711_MinPolqaSfbRecording_cut.wav,3.428571429
25656115_MinPolqaSfbRecording_cut.wav,4.142857143
25663490_MinPolqaSfbRecording_cut.wav,3.0
25636375_MinPolqaSfbRecording_cut.wav,2.857142857
25747366_MinPolqaSfbRecording_cut.wav,4.285714286
25665041_MinPolqaSfbRecording_cut.wav,3.714285714
25762779_MinPolqaSfbRecording_cut.wav,2.8
25710362_MinPolqaSfbRecording_cut.wav,4.4
25658861_MinPolqaSfbRecording_cut.wav,2.8
25720867_MinPolqaSfbRecording_cut.wav,5.0
25630037_MinPolqaSfbRecording_cut.wav,4.4
25807062_MinPolqaSfbRecording_cut.wav,4.6
25799814_MinPolqaSfbRecording_cut.wav,3.6
25656084_MinPolqaSfbRecording_cut.wav,4.6
25741174_MinPolqaSfbRecording_cut.wav,5.0
25742666_MinPolqaSfbRecording_cut.wav,3.714285714
25696657_MinPolqaSfbRecording_cut.wav,4.571428571
25757162_MinPolqaSfbRecording_cut.wav,1.571428571
25640182_MinPolqaSfbRecording_cut.wav,2.857142857
25806202_MinPolqaSfbRecording_cut.wav,1.857142857
25717624_MinPolqaSfbRecording_cut.wav,3.857142857
25738877_MinPolqaSfbRecording_cut.wav,4.571428571
25701296_MinPolqaSfbRecording_cut.wav,4.142857143
25738581_MinPolqaSfbRecording_cut.wav,4.428571429
25613095_MinPolqaSfbRecording_cut.wav,4.5
25721005_MinPolqaSfbRecording_cut.wav,2.0
25731501_MinPolqaSfbRecording_cut.wav,3.666666667
25654735_MinPolqaSfbRecording_cut.wav,4.333333333
25757238_MinPolqaSfbRecording_cut.wav,2.166666667
25806069_MinPolqaSfbRecording_cut.wav,4.666666667
25713295_MinPolqaSfbRecording_cut.wav,1.375
25657226_MinPolqaSfbRecording_cut.wav,2.125
25660714_MinPolqaSfbRecording_cut.wav,4.25
25725507_MinPolqaSfbRecording_cut.wav,4.125
25709259_MinPolqaSfbRecording_cut.wav,3.375
25628296_MinPolqaSfbRecording_cut.wav,2.625
25658491_MinPolqaSfbRecording_cut.wav,3.875
25656157_MinPolqaSfbRecording_cut.wav,4.0
25635198_MinPolqaSfbRecording_cut.wav,2.625
25637216_MinPolqaSfbRecording_cut.wav,4.25
25803360_MinPolqaSfbRecording_cut.wav,4.0
25801471_MinPolqaSfbRecording_cut.wav,4.5
25653704_MinPolqaSfbRecording_cut.wav,3.75
25611653_MinPolqaSfbRecording_cut.wav,3.25
25657727_MinPolqaSfbRecording_cut.wav,3.625
25736759_MinPolqaSfbRecording_cut.wav,4.125
25645565_MinPolqaSfbRecording_cut.wav,3.875
25644888_MinPolqaSfbRecording_cut.wav,2.5
25725260_MinPolqaSfbRecording_cut.wav,3.375
25656111_MinPolqaSfbRecording_cut.wav,4.2
25739026_MinPolqaSfbRecording_cut.wav,4.0
25615270_MinPolqaSfbRecording_cut.wav,1.8
25732386_MinPolqaSfbRecording_cut.wav,1.4
25805083_MinPolqaSfbRecording_cut.wav,3.8
25723298_MinPolqaSfbRecording_cut.wav,1.2
25780885_MinPolqaSfbRecording_cut.wav,4.4
25611565_MinPolqaSfbRecording_cut.wav,3.2
25721731_MinPolqaSfbRecording_cut.wav,1.6
25806018_MinPolqaSfbRecording_cut.wav,3.25
25744710_MinPolqaSfbRecording_cut.wav,3.0
25712923_MinPolqaSfbRecording_cut.wav,4.375
25739299_MinPolqaSfbRecording_cut.wav,4.375
25751158_MinPolqaSfbRecording_cut.wav,4.375
25737373_MinPolqaSfbRecording_cut.wav,2.0
25700534_MinPolqaSfbRecording_cut.wav,3.5
25593095_MinPolqaSfbRecording_cut.wav,3.166666667
25760062_MinPolqaSfbRecording_cut.wav,3.833333333
25718100_MinPolqaSfbRecording_cut.wav,1.5
25807001_MinPolqaSfbRecording_cut.wav,4.333333333
25701214_MinPolqaSfbRecording_cut.wav,4.166666667
25761503_MinPolqaSfbRecording_cut.wav,4.666666667
25764867_MinPolqaSfbRecording_cut.wav,3.0
25699509_MinPolqaSfbRecording_cut.wav,2.833333333
25755487_MinPolqaSfbRecording_cut.wav,3.75
25698397_MinPolqaSfbRecording_cut.wav,4.125
25749850_MinPolqaSfbRecording_cut.wav,3.125
25779908_MinPolqaSfbRecording_cut.wav,4.0
25745258_MinPolqaSfbRecording_cut.wav,3.75
25637839_MinPolqaSfbRecording_cut.wav,2.625
25701035_MinPolqaSfbRecording_cut.wav,4.0
25626825_MinPolqaSfbRecording_cut.wav,4.125
25742804_MinPolqaSfbRecording_cut.wav,4.125
25779259_MinPolqaSfbRecording_cut.wav,4.125
25736676_MinPolqaSfbRecording_cut.wav,1.875
25631612_MinPolqaSfbRecording_cut.wav,2.75
25649192_MinPolqaSfbRecording_cut.wav,2.25
25702332_MinPolqaSfbRecording_cut.wav,1.5
25663108_MinPolqaSfbRecording_cut.wav,3.75
25752891_MinPolqaSfbRecording_cut.wav,3.444444444
25664071_MinPolqaSfbRecording_cut.wav,3.666666667
25734826_MinPolqaSfbRecording_cut.wav,1.555555556
25759734_MinPolqaSfbRecording_cut.wav,1.888888889
25780815_MinPolqaSfbRecording_cut.wav,3.555555556
25779138_MinPolqaSfbRecording_cut.wav,2.444444444
25761090_MinPolqaSfbRecording_cut.wav,1.375
25777051_MinPolqaSfbRecording_cut.wav,1.875
25613031_MinPolqaSfbRecording_cut.wav,3.0
25782299_MinPolqaSfbRecording_cut.wav,1.75
25733780_MinPolqaSfbRecording_cut.wav,1.625
25930241_MinPolqaSfbRecording_cut.wav,3.875
25851589_MinPolqaSfbRecording_cut.wav,3.875
25983714_MinPolqaSfbRecording_cut.wav,2.75
25722878_MinPolqaSfbRecording_cut.wav,2.75
25636099_MinPolqaSfbRecording_cut.wav,1.888888889
25613224_MinPolqaSfbRecording_cut.wav,4.222222222
25913845_MinPolqaSfbRecording_cut.wav,4.555555556
25729785_MinPolqaSfbRecording_cut.wav,3.0
25702709_MinPolqaSfbRecording_cut.wav,4.333333333
25802438_MinPolqaSfbRecording_cut.wav,4.0
25878303_MinPolqaSfbRecording_cut.wav,2.444444444
25929899_MinPolqaSfbRecording_cut.wav,1.111111111
25886894_MinPolqaSfbRecording_cut.wav,4.0
25627463_MinPolqaSfbRecording_cut.wav,2.0
25849764_MinPolqaSfbRecording_cut.wav,2.625
25881422_MinPolqaSfbRecording_cut.wav,3.625
25802491_MinPolqaSfbRecording_cut.wav,2.125
25971515_MinPolqaSfbRecording_cut.wav,3.5
25718427_MinPolqaSfbRecording_cut.wav,2.25
25761969_MinPolqaSfbRecording_cut.wav,1.875
26012170_MinPolqaSfbRecording_cut.wav,4.285714286
25799350_MinPolqaSfbRecording_cut.wav,2.285714286
25694936_MinPolqaSfbRecording_cut.wav,3.428571429
25934711_MinPolqaSfbRecording_cut.wav,4.142857143
25988564_MinPolqaSfbRecording_cut.wav,4.0
26008210_MinPolqaSfbRecording_cut.wav,1.857142857
25909918_MinPolqaSfbRecording_cut.wav,3.857142857
25649376_MinPolqaSfbRecording_cut.wav,3.285714286
25701121_MinPolqaSfbRecording_cut.wav,1.9
25857478_MinPolqaSfbRecording_cut.wav,3.8
25924158_MinPolqaSfbRecording_cut.wav,3.5
25937940_MinPolqaSfbRecording_cut.wav,2.8
25638646_MinPolqaSfbRecording_cut.wav,2.4
25657487_MinPolqaSfbRecording_cut.wav,2.5
25614944_MinPolqaSfbRecording_cut.wav,2.6
25999788_MinPolqaSfbRecording_cut.wav,3.5
25997186_MinPolqaSfbRecording_cut.wav,3.5
25696910_MinPolqaSfbRecording_cut.wav,2.5
25754010_MinPolqaSfbRecording_cut.wav,1.625
25981139_MinPolqaSfbRecording_cut.wav,3.5
25806823_MinPolqaSfbRecording_cut.wav,2.625
25999232_MinPolqaSfbRecording_cut.wav,1.625
25975730_MinPolqaSfbRecording_cut.wav,4.5
25880035_MinPolqaSfbRecording_cut.wav,1.875
25705451_MinPolqaSfbRecording_cut.wav,2.5
25746893_MinPolqaSfbRecording_cut.wav,3.4
25853048_MinPolqaSfbRecording_cut.wav,3.5
25970072_MinPolqaSfbRecording_cut.wav,4.0
25648375_MinPolqaSfbRecording_cut.wav,4.5
25776481_MinPolqaSfbRecording_cut.wav,4.3
25937948_MinPolqaSfbRecording_cut.wav,2.1
25707305_MinPolqaSfbRecording_cut.wav,2.555555556
25731132_MinPolqaSfbRecording_cut.wav,4.444444444
25845817_MinPolqaSfbRecording_cut.wav,4.444444444
25698477_MinPolqaSfbRecording_cut.wav,1.888888889
25937375_MinPolqaSfbRecording_cut.wav,4.444444444
25698605_MinPolqaSfbRecording_cut.wav,2.555555556
25737424_MinPolqaSfbRecording_cut.wav,4.444444444
25803321_MinPolqaSfbRecording_cut.wav,4.222222222
25728821_MinPolqaSfbRecording_cut.wav,3.888888889
25882394_MinPolqaSfbRecording_cut.wav,4.111111111
25639344_MinPolqaSfbRecording_cut.wav,3.888888889
25726591_MinPolqaSfbRecording_cut.wav,1.777777778
25711845_MinPolqaSfbRecording_cut.wav,2.666666667
25901118_MinPolqaSfbRecording_cut.wav,2.777777778
25714626_MinPolqaSfbRecording_cut.wav,3.333333333
25630557_MinPolqaSfbRecording_cut.wav,1.888888889
25651345_MinPolqaSfbRecording_cut.wav,1.333333333
25965393_MinPolqaSfbRecording_cut.wav,2.444444444
25995428_MinPolqaSfbRecording_cut.wav,1.777777778
25764191_MinPolqaSfbRecording_cut.wav,3.666666667
25628384_MinPolqaSfbRecording_cut.wav,2.222222222
25873784_MinPolqaSfbRecording_cut.wav,2.0
25740183_MinPolqaSfbRecording_cut.wav,4.111111111
25631516_MinPolqaSfbRecording_cut.wav,2.222222222
25641599_MinPolqaSfbRecording_cut.wav,3.333333333
25843341_MinPolqaSfbRecording_cut.wav,4.111111111
25925288_MinPolqaSfbRecording_cut.wav,2.8
25697867_MinPolqaSfbRecording_cut.wav,1.8
25848837_MinPolqaSfbRecording_cut.wav,4.6
25703957_MinPolqaSfbRecording_cut.wav,2.1
25647860_MinPolqaSfbRecording_cut.wav,2.4
25710033_MinPolqaSfbRecording_cut.wav,3.1
25888701_MinPolqaSfbRecording_cut.wav,4.1
25741004_MinPolqaSfbRecording_cut.wav,3.1
25874625_MinPolqaSfbRecording_cut.wav,4.5
25648337_MinPolqaSfbRecording_cut.wav,2.1
25942781_MinPolqaSfbRecording_cut.wav,3.5
25762509_MinPolqaSfbRecording_cut.wav,2.25
25993224_MinPolqaSfbRecording_cut.wav,3.875
25885617_MinPolqaSfbRecording_cut.wav,4.125
26009651_MinPolqaSfbRecording_cut.wav,1.875
25761763_MinPolqaSfbRecording_cut.wav,2.125
25718248_MinPolqaSfbRecording_cut.wav,2.75
25752565_MinPolqaSfbRecording_cut.wav,4.0
25727301_MinPolqaSfbRecording_cut.wav,4.285714286
25865613_MinPolqaSfbRecording_cut.wav,3.428571429
25629487_MinPolqaSfbRecording_cut.wav,2.0
25860394_MinPolqaSfbRecording_cut.wav,3.142857143
25711832_MinPolqaSfbRecording_cut.wav,3.428571429
25899274_MinPolqaSfbRecording_cut.wav,3.571428571
25876663_MinPolqaSfbRecording_cut.wav,1.571428571
25713198_MinPolqaSfbRecording_cut.wav,1.75
25761850_MinPolqaSfbRecording_cut.wav,3.75
25799132_MinPolqaSfbRecording_cut.wav,1.625
25715577_MinPolqaSfbRecording_cut.wav,1.875
25778236_MinPolqaSfbRecording_cut.wav,4.375
25735781_MinPolqaSfbRecording_cut.wav,3.75
25851526_MinPolqaSfbRecording_cut.wav,3.75
25697906_MinPolqaSfbRecording_cut.wav,3.0
25797350_MinPolqaSfbRecording_cut.wav,2.0
25735730_MinPolqaSfbRecording_cut.wav,4.0
25610995_MinPolqaSfbRecording_cut.wav,4.0
25940400_MinPolqaSfbRecording_cut.wav,4.142857143
25735686_MinPolqaSfbRecording_cut.wav,3.571428571
25947932_MinPolqaSfbRecording_cut.wav,4.428571429
